POS Position,Name,Team,Position,P Played,G 7M goals,% 7M Shooting accuracy,G Full back - Goals,% Full back - Shooting accuracy,T Centre back - Goals,% Centre back - Shooting accuracy,G Wing - Goals,% Wing - Shooting accuracy,G Pivot - Goals,% Pivot - Shooting accuracy,G Fast breaks - Goals,% Fast breaks - Shooting accuracy
339,Marcher Petersen Mark Strandgaard,FAG,RW,3,-,-,-,-,-,-,4,66.67%,1,100.00%,1,100.00%
340,Esche Marc,LEI,LW,33,-,-,-,-,-,-,12,63.16%,-,-,4,57.14%
341,Heinzelmann Tobias,HBW,P,31,-,-,2,50.00%,-,-,3,60.00%,46,75.41%,13,86.67%
342,Sejr Jensen Simon,HBW,GK,33,-,-,-,-,-,-,-,-,-,-,-,-
343,Lindenchrone Andersen Jon,FAG,RB,34,-,-,53,67.95%,28,44.44%,2,66.67%,4,80.00%,15,78.95%
344,Schluroff Miro,GWD,LB,30,-,-,24,64.86%,41,56.16%,-,-,-,-,1,50.00%
345,Baumgart Luka,SCM,CB,1,-,-,-,-,-,-,-,-,-,-,-,-
346,Hanne Martin,HAN,LB,16,-,-,12,54.55%,8,34.78%,-,-,-,-,-,-
347,Foege Luis Plymford,TVB,RB,5,-,-,-,-,-,-,-,-,-,-,-,-
348,Meyer-Siebert Julius,SGF,LB,19,-,-,1,50.00%,3,60.00%,-,-,-,-,-,-
349,Bialowas Yannik,HCE,LW,1,-,-,-,-,-,-,-,-,-,-,-,-
350,Ahouansou Philipp,RNL,LB,22,-,-,24,80.00%,19,63.33%,-,-,-,-,2,100.00%
351,Wernlein Felix,HAN,GK,3,-,-,-,-,-,-,-,-,-,-,-,-
352,Kraus Dustin,BER,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
353,Klama Joonas,BHC,GK,4,-,-,-,-,-,-,-,-,-,-,-,-
354,Mundus Marvin,NLB,CB,34,-,-,13,61.90%,5,50.00%,3,50.00%,2,100.00%,-,-
355,Jensen Mike,SCM,GK,34,-,-,-,-,-,-,-,-,-,-,1,100.00%
356,Suljakovic Anadin,WET,GK,28,-,-,-,-,-,-,-,-,-,-,1,100.00%
357,Schulze Alexander,TVB,LW,34,-,-,4,80.00%,-,-,19,67.86%,4,100.00%,17,89.47%
358,Munzinger Luca,HBW,RB,7,-,-,-,-,-,-,-,-,-,-,-,-
359,Ehrig Sven,THW,RW,33,-,-,2,66.67%,-,-,16,48.48%,-,-,9,81.82%
361,Nicolaus Fynn-Luca,TVB,LB,14,-,-,2,66.67%,-,-,-,-,18,78.26%,1,100.00%
362,Lichtlein Nils,BER,CB,11,-,-,5,71.43%,2,50.00%,-,-,-,-,-,-
363,Ludwig Lasse,BER,GK,3,-,-,-,-,-,-,-,-,-,-,-,-
364,Freihofer Tim,BER,LW,1,-,-,-,-,-,-,-,-,-,-,-,-
365,Eissing Felix,SCM,RW,2,-,-,-,-,-,-,-,-,-,-,-,-
366,Heinis Robin,BER,RB,4,-,-,-,-,-,-,-,-,1,100.00%,-,-
367,Uscins Renars,SCM,RB,1,-,-,-,-,-,-,-,-,-,-,-,-
368,Nikolaisen Tom Kare,BHC,P,32,-,-,1,50.00%,-,-,-,-,56,77.78%,2,66.67%
369,Neudeck Oskar,FAG,LB,27,-,-,6,66.67%,1,20.00%,1,100.00%,-,-,-,-
370,Leppich Jonas,BHC,P,2,-,-,-,-,-,-,-,-,-,-,-,-
371,Muhlenstadt Timon,TBV,GK,5,-,-,-,-,-,-,-,-,-,-,-,-
372,Nissen Marek,NLB,LB,34,-,-,30,73.17%,15,41.67%,1,100.00%,1,100.00%,-,-
373,Kaulitz Tim,FAG,LW,2,-,-,-,-,-,-,-,-,-,-,-,-
374,Langhoff Matthes,BER,LB,28,-,-,6,75.00%,3,33.33%,-,-,1,100.00%,1,50.00%
375,Beneke Max,BER,RB,17,-,-,7,77.78%,10,71.43%,-,-,-,-,-,-
376,Kompenhans Paul,MTM,CB,5,-,-,1,50.00%,-,-,-,-,-,-,-,-
377,Kuntscher David,MTM,RB,17,-,-,1,50.00%,1,50.00%,-,-,-,-,-,-
378,Seitz Stephan,HCE,RB,8,-,-,-,-,-,-,-,-,2,100.00%,-,-
379,Beekmann Ben,MTM,LW,4,-,-,-,-,-,-,-,-,-,-,-,-
380,Vignjevic Marko,GWD,LB,11,-,-,3,75.00%,3,42.86%,-,-,-,-,-,-
381,Mensing Hans Aaron,SGF,LB,24,-,-,12,60.00%,27,50.00%,2,100.00%,-,-,-,-
382,Spath David,RNL,GK,9,-,-,-,-,-,-,-,-,-,-,-,-
383,Carstensen Leve,TBV,LW,1,-,-,-,-,-,-,-,-,-,-,-,-
384,Hubke Torben,SGF,P,1,-,-,-,-,-,-,-,-,-,-,-,-
385,Holpert Magnus,GWD,CB,2,-,-,-,-,-,-,-,-,-,-,-,-
386,Wager Philipp Maximilian,THW,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
387,Saggau Philip Hartwig,THW,GK,5,-,-,-,-,-,-,-,-,-,-,-,-
388,Reitemann Michel,TBV,P,33,-,-,1,33.33%,-,-,-,-,14,73.68%,-,-
389,Blum Matthis,RNL,CB,1,-,-,-,-,-,-,-,-,-,-,-,-
390,Feit Thore,HSV,P,3,-,-,-,-,-,-,-,-,-,-,-,-
392,Blaauw Niko,TBV,CB,27,-,-,-,-,-,-,-,-,-,-,-,-
393,Leun Finn-Lukas,LEI,RB,2,-,-,-,-,-,-,-,-,-,-,-,-
394,Sajenev Mika Laurin,LEI,P,1,-,-,-,-,-,-,-,-,-,-,-,-
395,Sauter Moritz,BER,CB,5,-,-,2,66.67%,1,100.00%,-,-,-,-,-,-
396,Fischer Justus,HAN,P,19,-,-,1,100.00%,-,-,-,-,16,84.21%,-,-
397,Hejny Maximilian,FAG,RB,5,-,-,-,-,1,100.00%,-,-,-,-,-,-
398,Ciudad Benitez Leon,THW,P,30,-,-,1,100.00%,-,-,-,-,9,75.00%,1,100.00%
399,Demerza Alexej,GWD,LB,1,-,-,-,-,-,-,-,-,-,-,-,-
400,Scholtes Elias,RNL,RB,2,-,-,-,-,-,-,-,-,-,-,-,-
402,Holzhacker Paul,GWD,RW,5,-,-,-,-,-,-,1,50.00%,-,-,-,-
